Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
121,33.70829787,33.71106383,-84.36363636,-84.36,0,103413.3107,0,0.039916839,0,71.73929377,25558.287,32694.72,18421.854,45936.336,35914.1099674965,25579.5346971097
122,33.70829787,33.71106383,-84.36,-84.35636364,0,103410.1784,0,0.039939241,0,122.8210644,24880.91,31199.44,18562.38,28007.688,35914.1099674965,25579.5346971097
123,33.70829787,33.71106383,-84.35636364,-84.35272727,0,103410.2203,0,0.039942838,0,116.4265761,25279.762,31843.074,18716.451,27761.182,35914.1099674965,25579.5346971097
124,33.70829787,33.71106383,-84.35272727,-84.34909091,0,103336.7744,77.57959286,0.039912867,0.0000296,101.2626318,25115.984,31518.906,18713.06,29103.986,35914.1099674965,25579.5346971097
125,33.70829787,33.71106383,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
126,33.70829787,33.71106383,-84.34545455,-84.34181818,0,102762.773,655.755536,0.039675537,0.000247679,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
127,33.70829787,33.71106383,-84.34181818,-84.33818182,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,24881.4727816554,25579.5346971097
128,33.70829787,33.71106383,-84.33818182,-84.33454545,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,24881.4727816554,25579.5346971097
129,33.70829787,33.71106383,-84.33454545,-84.33090909,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
130,33.70829787,33.71106383,-84.33090909,-84.32727273,0,102761.6336,662.1993252,0.039676196,0.000251235,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
131,33.70829787,33.71106383,-84.32727273,-84.32363636,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
132,33.70829787,33.71106383,-84.32363636,-84.32,0,103192.6061,227.4139612,0.039849799,0.0000891,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
133,33.71106383,33.71382979,-84.44,-84.43636364,0,103416.9368,0,0.039919258,0,115.8002862,24217.725,29589.96,18845.488,22651.92,35914.1099674965,25579.5346971097
134,33.71106383,33.71382979,-84.43636364,-84.43272727,0,103418.189,0,0.039917855,0,130.1655314,24231.137,29576.643,18885.629,23567.525,35914.1099674965,25579.5346971097
135,33.71106383,33.71382979,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
136,33.71106383,33.71382979,-84.42909091,-84.42545455,0,103416.0516,0,0.039924603,0,122.3712495,24389.164,29885.166,18893.16,18887.268,35914.1099674965,25579.5346971097
137,33.71106383,33.71382979,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,24881.4727816554,25579.5346971097
138,33.71106383,33.71382979,-84.42181818,-84.41818182,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,520.309755469084,25579.5346971097
139,33.71106383,33.71382979,-84.41818182,-84.41454545,0,103409.2657,0,0.039925718,0,116.1646799,24746.852,30736.059,18757.643,28262.975,13468,25579.5346971097
140,33.71106383,33.71382979,-84.41454545,-84.41090909,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
141,33.71106383,33.71382979,-84.41090909,-84.40727273,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
142,33.71106383,33.71382979,-84.40727273,-84.40363636,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,35914.1099674965,25579.5346971097
143,33.71106383,33.71382979,-84.40363636,-84.4,0,103409.8069,0,0.039932405,0,141.4588394,24577.086,30548.064,18606.105,19997.666,35914.1099674965,25579.5346971097
