GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13021013900,Census Tract 139; Bibb County; Georgia,96058773,2241609,37.089,0.865,32.7865797,-83.5967893
1400000US13021014000,Census Tract 140; Bibb County; Georgia,4210282,21506,1.626,0.008,32.8400958,-83.6691043
1400000US13023790100,Census Tract 7901; Bleckley County; Georgia,323283462,4453451,124.82,1.719,32.4779818,-83.2776466
1400000US13023790200,Census Tract 7902; Bleckley County; Georgia,152309392,2277436,58.807,0.879,32.4141232,-83.41914
1400000US13023790301,Census Tract 7903.01; Bleckley County; Georgia,5267036,70822,2.034,0.027,32.3878195,-83.3386452
1400000US13023790302,Census Tract 7903.02; Bleckley County; Georgia,78262235,1623711,30.217,0.627,32.3425439,-83.3542424
1400000US13025960101,Census Tract 9601.01; Brantley County; Georgia,183138116,881699,70.71,0.34,31.2952457,-81.818816
1400000US13025960102,Census Tract 9601.02; Brantley County; Georgia,109671074,1844185,42.344,0.712,31.1670195,-81.8351291
1400000US13025960201,Census Tract 9602.01; Brantley County; Georgia,158889070,2568918,61.347,0.992,31.2928128,-81.9444561
1400000US13025960202,Census Tract 9602.02; Brantley County; Georgia,340911870,2573661,131.627,0.994,31.1663786,-81.9824178
1400000US13025960300,Census Tract 9603; Brantley County; Georgia,355362128,2423100,137.206,0.936,31.1517425,-82.1368405
1400000US13027960200,Census Tract 9602; Brooks County; Georgia,258036725,3106734,99.629,1.2,30.950909,-83.6820015
1400000US13027960301,Census Tract 9603.01; Brooks County; Georgia,330265363,4134562,127.516,1.596,30.9403089,-83.5068032
1400000US13027960302,Census Tract 9603.02; Brooks County; Georgia,20225516,313676,7.809,0.121,30.8631273,-83.3791623
1400000US13027960400,Census Tract 9604; Brooks County; Georgia,134385261,2124578,51.886,0.82,30.8423203,-83.5478189
1400000US13027960500,Census Tract 9605; Brooks County; Georgia,106887929,347926,41.27,0.134,30.7769129,-83.5298134
1400000US13027960600,Census Tract 9606; Brooks County; Georgia,427540482,1928285,165.074,0.745,30.7215211,-83.6035539
1400000US13029920101,Census Tract 9201.01; Bryan County; Georgia,128627217,1451757,49.663,0.561,32.1800181,-81.4767191
1400000US13029920103,Census Tract 9201.03; Bryan County; Georgia,182383828,575745,70.419,0.222,32.1427025,-81.6357205
1400000US13029920104,Census Tract 9201.04; Bryan County; Georgia,51496643,506729,19.883,0.196,32.1071063,-81.4632251
1400000US13029920301,Census Tract 9203.01; Bryan County; Georgia,66853308,883140,25.812,0.341,31.8986194,-81.356358
1400000US13029920303,Census Tract 9203.03; Bryan County; Georgia,9166620,86455,3.539,0.033,31.9388503,-81.3220146
1400000US13029920305,Census Tract 9203.05; Bryan County; Georgia,22942291,3385140,8.858,1.307,31.9325512,-81.2835742
1400000US13029920307,Census Tract 9203.07; Bryan County; Georgia,154548567,28523738,59.672,11.013,31.822265,-81.2150254
1400000US13029920308,Census Tract 9203.08; Bryan County; Georgia,78454465,4205511,30.291,1.624,31.8651896,-81.301127
1400000US13029980000,Census Tract 9800; Bryan County; Georgia,438811295,4133050,169.426,1.596,32.02637,-81.4940823
1400000US13031110100,Census Tract 1101; Bulloch County; Georgia,280049801,5908429,108.128,2.281,32.5649759,-81.8950448
1400000US13031110201,Census Tract 1102.01; Bulloch County; Georgia,67911944,1880583,26.221,0.726,32.5392864,-81.7551528
1400000US13031110202,Census Tract 1102.02; Bulloch County; Georgia,38102160,803408,14.711,0.31,32.5147383,-81.8072521
1400000US13031110301,Census Tract 1103.01; Bulloch County; Georgia,114054748,3231247,44.037,1.248,32.4616607,-81.8734046
1400000US13031110302,Census Tract 1103.02; Bulloch County; Georgia,52369376,1223161,20.22,0.472,32.3994471,-81.8289403
1400000US13031110401,Census Tract 1104.01; Bulloch County; Georgia,9508004,129123,3.671,0.05,32.429553,-81.802825
1400000US13031110405,Census Tract 1104.05; Bulloch County; Georgia,1801910,68192,0.696,0.026,32.4094165,-81.7720789
1400000US13031110406,Census Tract 1104.06; Bulloch County; Georgia,2723325,232498,1.051,0.09,32.4001575,-81.7700123
1400000US13031110407,Census Tract 1104.07; Bulloch County; Georgia,1877659,21296,0.725,0.008,32.4246902,-81.7845483
1400000US13031110408,Census Tract 1104.08; Bulloch County; Georgia,4153602,14840,1.604,0.006,32.4076849,-81.7869536
1400000US13031110500,Census Tract 1105; Bulloch County; Georgia,8999951,33603,3.475,0.013,32.4269675,-81.7675809
1400000US13031110602,Census Tract 1106.02; Bulloch County; Georgia,138419474,2471366,53.444,0.954,32.4968689,-81.6486527
1400000US13031110603,Census Tract 1106.03; Bulloch County; Georgia,18038335,457543,6.965,0.177,32.427694,-81.7343183
1400000US13031110604,Census Tract 1106.04; Bulloch County; Georgia,71301769,1341847,27.53,0.518,32.4519685,-81.6580472
1400000US13031110701,Census Tract 1107.01; Bulloch County; Georgia,135126536,1961749,52.173,0.757,32.329838,-81.7237173
1400000US13031110702,Census Tract 1107.02; Bulloch County; Georgia,45508025,324233,17.571,0.125,32.3792953,-81.7122797
1400000US13031110703,Census Tract 1107.03; Bulloch County; Georgia,106131095,1031815,40.977,0.398,32.3889659,-81.601511
1400000US13031110800,Census Tract 1108; Bulloch County; Georgia,179956522,6868714,69.482,2.652,32.3232081,-81.8698984
1400000US13031110901,Census Tract 1109.01; Bulloch County; Georgia,240832153,2814217,92.986,1.087,32.2337992,-81.7037468
1400000US13031110902,Census Tract 1109.02; Bulloch County; Georgia,233868827,2009917,90.297,0.776,32.3044417,-81.5452841
1400000US13033950101,Census Tract 9501.01; Burke County; Georgia,129428965,1285530,49.973,0.496,33.1878463,-81.9750223
1400000US13033950102,Census Tract 9501.02; Burke County; Georgia,276185388,3540625,106.636,1.367,33.1594912,-81.8606935
1400000US13033950200,Census Tract 9502; Burke County; Georgia,238639721,1557406,92.139,0.601,33.2038865,-82.1753519
1400000US13033950400,Census Tract 9504; Burke County; Georgia,227044938,1353649,87.663,0.523,33.0807356,-82.1003726
1400000US13033950500,Census Tract 9505; Burke County; Georgia,371195009,2217746,143.319,0.856,33.0126673,-81.9713799
1400000US13033950700,Census Tract 9507; Burke County; Georgia,426847599,5234507,164.807,2.021,33.0303641,-81.7296155
1400000US13033950900,Census Tract 9509; Burke County; Georgia,472681806,5381826,182.503,2.078,32.9603348,-82.2051273
1400000US13035150101,Census Tract 1501.01; Butts County; Georgia,49556253,3321345,19.134,1.282,33.3962705,-83.9209839
1400000US13035150102,Census Tract 1501.02; Butts County; Georgia,174347627,4788446,67.316,1.849,33.2696327,-83.8953087
1400000US13035150201,Census Tract 1502.01; Butts County; Georgia,56975731,546853,21.998,0.211,33.2732248,-83.9633779
1400000US13035150202,Census Tract 1502.02; Butts County; Georgia,41600786,125218,16.062,0.048,33.309949,-83.9523235
