Grid ID,Min Lat,Max Lat,Min Long,Max Long
3300,40.78689872,40.78965992,-73.86328139,-73.85970871
3301,40.78689872,40.78965992,-73.85970871,-73.85613604
3302,40.78689872,40.78965992,-73.85613604,-73.85256336
3303,40.78689872,40.78965992,-73.85256336,-73.84899068
3304,40.78689872,40.78965992,-73.84899068,-73.845418
3305,40.78965992,40.79242112,-74.045488,-74.04191532
3306,40.78965992,40.79242112,-74.04191532,-74.03834264
3307,40.78965992,40.79242112,-74.03834264,-74.03476996
3308,40.78965992,40.79242112,-74.03476996,-74.03119729
3309,40.78965992,40.79242112,-74.03119729,-74.02762461
3310,40.78965992,40.79242112,-74.02762461,-74.02405193
3311,40.78965992,40.79242112,-74.02405193,-74.02047925
3312,40.78965992,40.79242112,-74.02047925,-74.01690657
3313,40.78965992,40.79242112,-74.01690657,-74.01333389
3314,40.78965992,40.79242112,-74.01333389,-74.00976121
3315,40.78965992,40.79242112,-74.00976121,-74.00618854
3316,40.78965992,40.79242112,-74.00618854,-74.00261586
3317,40.78965992,40.79242112,-74.00261586,-73.99904318
3318,40.78965992,40.79242112,-73.99904318,-73.9954705
3319,40.78965992,40.79242112,-73.9954705,-73.99189782
3320,40.78965992,40.79242112,-73.99189782,-73.98832514
3321,40.78965992,40.79242112,-73.98832514,-73.98475246
3322,40.78965992,40.79242112,-73.98475246,-73.98117979
3323,40.78965992,40.79242112,-73.98117979,-73.97760711
3324,40.78965992,40.79242112,-73.97760711,-73.97403443
3325,40.78965992,40.79242112,-73.97403443,-73.97046175
3326,40.78965992,40.79242112,-73.97046175,-73.96688907
3327,40.78965992,40.79242112,-73.96688907,-73.96331639
3328,40.78965992,40.79242112,-73.96331639,-73.95974371
3329,40.78965992,40.79242112,-73.95974371,-73.95617104
3330,40.78965992,40.79242112,-73.95617104,-73.95259836
3331,40.78965992,40.79242112,-73.95259836,-73.94902568
3332,40.78965992,40.79242112,-73.94902568,-73.945453
3333,40.78965992,40.79242112,-73.945453,-73.94188032
3334,40.78965992,40.79242112,-73.94188032,-73.93830764
3335,40.78965992,40.79242112,-73.93830764,-73.93473496
3336,40.78965992,40.79242112,-73.93473496,-73.93116229
3337,40.78965992,40.79242112,-73.93116229,-73.92758961
3338,40.78965992,40.79242112,-73.92758961,-73.92401693
3339,40.78965992,40.79242112,-73.92401693,-73.92044425
3340,40.78965992,40.79242112,-73.92044425,-73.91687157
3341,40.78965992,40.79242112,-73.91687157,-73.91329889
3342,40.78965992,40.79242112,-73.91329889,-73.90972621
