station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
jrb,2019-01-03,-74.009,40.7012,42.8,81.07,0.0,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,42.8,75.5,0.0,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,42.0,78.8,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,43.0,79.19,0.0,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,44.0,75.93,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,44.0,78.66,4.6,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,44.0,78.66,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,44.0,82.12,8.05,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,11.5,0.0,10.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,12.65,0.0,10.0,good
nyc,2019-01-03,-73.9693,40.779,43.0,79.19,0.0,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,42.8,81.07,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,43.0,82.04,12.65,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,42.8,81.07,12.65,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,76.12,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,43.0,82.04,8.05,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,42.0,76.04,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,8.05,0.0,9.0,good
jrb,2019-01-03,-74.009,40.7012,57.0,69.52,6.9,0.0,9.0,good
jrb,2019-01-03,-74.009,40.7012,42.8,81.07,6.9,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,73.45,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,43.0,79.19,5.75,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,67.82,0.0,0.0,10.0,bad
jrb,2019-01-03,-74.009,40.7012,45.0,68.05,6.9,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,43.0,64.88,0.0,0.0,10.0,bad
nyc,2019-01-03,-73.9693,40.779,44.0,57.37,0.0,0.0,10.0,bad
